domain_group,token,n,tf,idf,tf_idf
high,10.13,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,10.17,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,10.2,9,4.171025001587307e-6,0,0
high,10.3,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.31.110,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,10.4,13,6.024813891181666e-6,0.6931471805599453,4.176082762070965e-6
high,10.5,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,10.6,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,10.67,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,10.6a,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,10.7,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,10.73.090,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,10.77,99,4.5881275017460374e-5,0.6931471805599453,3.180247641884811e-5
high,10.77.010,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.77.030,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,10.77.060,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,10.77.065,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,10.77.068,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.77.074,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.77.075,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.77.078,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.77.084,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,10.77.086,24,1.1122733337566151e-5,0.6931471805599453,7.709691253054089e-6
high,10.77.088,12,5.561366668783076e-6,0.6931471805599453,3.854845626527044e-6
high,10.77.092,7,3.2441305567901275e-6,0.6931471805599453,2.2486599488074424e-6
high,10.77.094,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.77.140,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,10.77.150,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,10.77.160,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.77.175,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,10.8,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,10.9,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.93.020,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,10.95.030,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,10.99.020,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,10.99.040,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,10.99.050,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,"100,000",95,4.402748612786601e-5,0,0
high,"100,000,000",6,2.780683334391538e-6,0,0
high,100.00,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,100.3,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1000.03,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1001.084,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1001.090,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1001.11,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,1001.212,15,6.951708335978845e-6,0.6931471805599453,4.818557033158805e-6
high,1001.215,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
